House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
55,Butler Road,Joyce,Coleman,9,Daughter,NA,Female,Student,None,NA
56,Butler Road,Angela,Cook,43,Head,Married,Female,"Psychologist, forensic",None,None
56,Butler Road,Guy,Cook,43,Husband,Married,Male,Operations geologist,None,None
56,Butler Road,Shannon,Cook,9,Daughter,NA,Female,Student,None,NA
1,Mermaid Drive,Leonard,Simpson,74,Head,Widowed,Male,Retired Dietitian,None,None
2,Mermaid Drive,Pamela,Green,88,Head,Married,Female,"Retired Lighting technician, broadcasting/film/video",None,Catholic
2,Mermaid Drive,Anthony,Green,90,Husband,Married,M,Retired Midwife,None,Catholic
2,Mermaid Drive,Emma,Thomas,3,Granddaughter,NA,Female,Child,None,NA
3,Mermaid Drive,Abbie,Wood,74,Head,Widowed,Female,Retired Museum/gallery exhibitions officer,None,None
4,Mermaid Drive,Denis,Hargreaves,81,Head,Married,Male,"Retired Engineer, site",None,None
4,Mermaid Drive,Francesca,Hargreaves,80,Wife,Married,Female,Retired Social researcher,None,None
5,Mermaid Drive,Charlie,Jenkins,49,Head,Single,Male,Social worker,None,Christian
6,Mermaid Drive,Rhys,Sanders,18,Head,Divorced,Male,Student,None,NA
7,Mermaid Drive,Terence,Collins,48,Head,Divorced,male,Make,None,Christian
8,Mermaid Drive,Sylvia,George,36,Head,Married,Female,Planning and development surveyor,None,Christian
8,Mermaid Drive,Joshua,George,37,Husband,Married,M,"Programmer, systems",None,None
8,Mermaid Drive,Russell,George,4,Son,NA,Male,Child,None,NA
9,Mermaid Drive,Iain,Turner,44,Head,Married,Male,Animator,None,Christian
9,Mermaid Drive,Lynn,Turner,39,Wife,Married,Female,Unemployed,None,Christian
9,Mermaid Drive,Frances,Turner,15,Adopted Daughter,NA,Female,Student,None,NA
10,Mermaid Drive,Joe,Stanley,51,Head,Single,Male,Chartered certified accountant,None,Christian
11,Mermaid Drive,Gary,Holland,46,Head,Single,Male,Audiological scientist,None,None
12,Mermaid Drive,Alex,Greenwood,44,Head,Married,Male,Osteopath,None,Catholic
12,Mermaid Drive,Pamela,Greenwood,47,Wife,Married,Female,Retail manager,None,Catholic
13,Mermaid Drive,Sophie,Evans,37,Head,Married,Female,Counselling psychologist,None,Christian
13,Mermaid Drive,Craig,Evans,36,Husband,Married,Male,Sports coach,None,Christian
13,Mermaid Drive,Alex,Evans,11,Son,NA,Male,Student,None,NA
14,Mermaid Drive,Helen,Wilkinson,50,Head,Single,Female,Catering manager,None,None
15,Mermaid Drive,Conor,Walsh,49,Head,Single,Male,Unemployed,None,Methodist
16,Mermaid Drive,Matthew,Holloway,33,Head,Widowed,Male,Information systems manager,None,Methodist
17,Mermaid Drive,Danny,Norris,45,Head,Single,M,Oncologist,None,Christian
1,Burrows Street,Sian,Brown,66,Head,Married,Female,Field trials officer,None,Christian
1,Burrows Street,Sally,Brown,73,Wife,Married,Female,"Retired Chemist, analytical",None,Christian
1,Burrows Street,Marie,Mellor,33,Daughter,Divorced,Female,Unemployed,None,Christian
2,Burrows Street,Lynne,Hill,62,Head,Single,Female,Quantity surveyor,None,Christian
2,Burrows Street,Bethany,Hill,39,Daughter,Single,Female,Regulatory affairs officer,None,None
2,Burrows Street,Jodie,Hill,29,Daughter,Single,Female,"Engineer, maintenance (IT)",None,Christian
2,Burrows Street,Luke,Hill,25,Son,Single,Male,Horticultural therapist,None,Christian
2,Burrows Street,Angela,Hill,21,Daughter,Divorced,Female,University Student,None,Christian
2,Burrows Street,Sarah,Hill,19,Daughter,Divorced,Female,University Student,None,Christian
3,Burrows Street,Lynda,Dawson,37,Head,Married,Female,Commercial art gallery manager,None,Christian
3,Burrows Street,Gavin,Dawson,41,Husband,Married,Male,"Teacher, primary school",None,Christian
3,Burrows Street,Andrea,Dawson,9,Daughter,NA,Female,Student,None,NA
3,Burrows Street,Phillip,Dawson,5,Son,NA,Male,Student,None,NA
4,Burrows Street,Tracey,Fry,37,Head,Widowed,Female,"Administrator, local government",None,Christian
4,Burrows Street,Geoffrey,Fry,9,Son,NA,Male,Student,None,NA
4,Burrows Street,Neil,Fry,4,Son,NA,Male,Child,None,NA
4,Burrows Street,Stacey,Fry,0,Daughter,NA,Female,Child,None,NA
4,Burrows Street,Judith,Robinson,54,Lodger,Single,Female,Ophthalmologist,None,None
5,Burrows Street,Natalie,Daly,46,Head,Married,Female,Armed forces operational officer,None,Methodist
5,Burrows Street,Alexander,Daly,52,Husband,Married,Male,Electronics engineer,None,None
5,Burrows Street,Stanley,Daly,20,Son,Single,Male,University Student,None,Methodist
5,Burrows Street,Eileen,Daly,10,Daughter,NA,Female,Student,None,NA
6,Burrows Street,Charlene,John,49,Head,Divorced,Female,"Engineer, civil (contracting)",None,Catholic
6,Burrows Street,Charlene,John,16,Daughter,NA,Female,Student,None,NA
7,Burrows Street,Owen,Miller,31,Head,Married,Male,Air broker,None,None
7,Burrows Street,June,Miller,28,Wife,Married,Female,Risk analyst,None,None
7,Burrows Street,Graeme,Miller,3,Nephew,NA,Male,Child,None,NA
7,Burrows Street,Hannah,Duffy,64,Visitor,Single,Female,"Sales professional, IT",None,None
7,Burrows Street,Joanne,Hamilton,18,Lodger,Divorced,Female,Student,None,NA
7,Burrows Street,Keith,Lawrence,56,Lodger,Single,Male,Multimedia programmer,None,Christian
8,Burrows Street,Andrew,Burke,50,Head,D,Male,Armed forces operational officer,None,None
9,Burrows Street,Sarah,Mason,41,Head,Married,Female,Unemployed,None,None
9,Burrows Street,John,Mason,43,Husband,Married,Male,"Surveyor, planning and development",None,None
9,Burrows Street,Jenna,Mason,6,Daughter,NA,Female,Student,None,NA
9,Burrows Street,Karl,Mason,5,Son,NA,Male,Student,None,NA
10,Burrows Street,June,Jones,41,Head,Married,Female,"Producer, radio",None,Catholic
10,Burrows Street,Gareth,Jones,42,Husband,Married,Male,Learning mentor,None,Catholic
10,Burrows Street,Gerald,Jones,18,Son,Single,Male,Student,None,Catholic
10,Burrows Street,Eric,Jones,15,Son,NA,Male,Student,None,NA
11,Burrows Street,Ricky,Carter,75,Head,Single,Male,Retired Magazine journalist,None,None
12,Burrows Street,Clare,Curtis,36,Head,Single,Female,"Therapist, speech and language",None,Christian
12,Burrows Street,Callum,Herbert,39,Partner,Single,Male,Mudlogger,None,Christian
12,Burrows Street,Kerry,Curtis,5,Daughter,NA,Female,Student,None,NA
12,Burrows Street,Lynda,Curtis,3,Daughter,NA,Female,Child,None,NA
13,Burrows Street,Martin,Ali,68,Head,Widowed,Male,Retired Insurance risk surveyor,None,Christian
14,Burrows Street,Aimee,Lee,58,Head,Single,Female,Community education officer,None,Christian
14,Burrows Street,Rachael,Lee,32,Daughter,Single,Female,General practice doctor,None,Christian
14,Burrows Street,Pamela,Lee,31,Daughter,Divorced,Female,Training and development officer,None,None
15,Burrows Street,Jill,Ryan,47,Head,Divorced,Female,Unemployed,None,None
15,Burrows Street,Rachel,Ryan,10,Daughter,NA,Female,Student,None,NA
15,Burrows Street,Amy,Ryan,6,Daughter,NA,Female,Student,None,NA
15,Burrows Street,Craig,Ryan,2,Son,NA,Male,Child,None,NA
16,Burrows Street,Rosie,Ball,33,Head,Married,Female,Chartered loss adjuster,None,None
16,Burrows Street,Benjamin,Ball,37,Husband,Married,Male,Medical sales representative,None,None
16,Burrows Street,Sean,Ball,11,Son,NA,Male,Student,None,NA
17,Burrows Street,Lynda,Stephenson,41,Head,Married,Female,"Engineer, automotive",None,Catholic
17,Burrows Street,Max,Stephenson,41,Husband,Married,Male,Animal technologist,None,Catholic
17,Burrows Street,Mary,Stephenson,16,Daughter,NA,Female,Student,None,NA
17,Burrows Street,Linda,Stephenson,13,Daughter,NA,Female,Student,None,NA
18,Burrows Street,Anne,Morton,33,Head,Married,Female,Transport planner,None,None
18,Burrows Street,Ben,Morton,31,Husband,Married,Male,Air broker,None,None
18,Burrows Street,Jeffrey,Morton,15,Son,NA,m,Student,None,NA
18,Burrows Street,Kieran,Morton,14,Son,NA,Male,Student,None,NA
19,Burrows Street,Clare,Ali,70,Head,Widowed,Female,"Retired Designer, textile",None,Christian
19,Burrows Street,Cameron,Ali,24,Grandson,Divorced,Male,"Surveyor, quantity",None,Christian
19,Burrows Street,Karen,Ali,23,Granddaughter,Single,Female,Television camera operator,None,Christian
19,Burrows Street,Hilary,Ali,15,Granddaughter,NA,Female,Student,None,NA
19,Burrows Street,Kieran,Ali,13,Grandson,NA,Male,Student,None,NA
20,Burrows Street,Pamela,Williams,53,Head,Married,Female,Clinical psychologist,None,Jewish
20,Burrows Street,Anthony,Williams,55,Husband,Married,Male,"Loss adjuster, chartered",None,None
20,Burrows Street,Trevor,Williams,26,Son,Single,Male,Agricultural engineer,None,None
20,Burrows Street,Lydia,Williams,5,Daughter,NA,Female,Student,None,NA
21,Burrows Street,Janice,James,47,Head,Divorced,Female,Public relations officer,None,Christian
21,Burrows Street,Gerald,James,23,Son,Divorced,Male,Corporate treasurer,None,Christian
21,Burrows Street,Jessica,James,20,Daughter,Single,Female,University Student,None,Christian
21,Burrows Street,Francesca,Burns-James,20,Daughter,Single,Female,University Student,None,Christian
22,Burrows Street,Natalie,Wilkins,43,Head,Divorced,Female,Medical illustrator,None,Methodist
22,Burrows Street,Dorothy,Wilkins,10,Daughter,NA,Female,Student,None,NA
22,Burrows Street,Ashleigh,Wilkins,7,Daughter,NA,Female,Student,None,NA
22,Burrows Street,Pauline,Wilkins,3,Daughter,NA,Female,Child,None,NA
23,Burrows Street,Declan,Allen,57,Head,Married,Male,Chief Executive Officer,None,Christian
23,Burrows Street,Kathryn,Allen,56,Wife,Married,Female,"Accountant, chartered management",None,None
23,Burrows Street,Dennis,Allen,21,Son,Divorced,Male,University Student,None,None
23,Burrows Street,Emily,Allen,17,Daughter,NA,Female,Student,None,NA
24,Burrows Street,David,Pugh,68,Head,Widowed,Male,Retired Early years teacher,None,Methodist
25,Burrows Street,Jacqueline,Shaw,36,Head,Single,Female,Health promotion specialist,None,Catholic
25,Burrows Street,Conor,Morris,36,Partner,Single,Male,Diplomatic Services operational officer,None,Catholic
25,Burrows Street,Alice,Shaw,6,Daughter,NA,Female,Student,None,NA
25,Burrows Street,Denise,Shaw,2,Daughter,NA,Female,Child,None,NA
26,Burrows Street,Rosemary,Hodgson,48,Head,Married,Female,Theatre stage manager,None,Methodist
26,Burrows Street,Joshua,Hodgson,52,Husband,Married,Male,Editorial assistant,None,None
26,Burrows Street,Janet,Hodgson,16,Daughter,NA,Female,Student,None,NA
26,Burrows Street,Elizabeth,Hodgson,12,Daughter,NA,Female,Student,None,NA
27,Burrows Street,Rhys,Johnson,22,Head,Single,Male,University Student,None,None
27,Burrows Street,Christian,Taylor,36,None,Single,Male,"Solicitor, Scotland",None,Christian
27,Burrows Street,Mohammed,Smith,20,None,Single,Male,University Student,None,None
27,Burrows Street,Oliver,Ahmed,55,None,Single,Male,Clinical research associate,None,Orthodoxy
28,Burrows Street,Dorothy,Price,20,Head,Single,Female,University Student,None,Christian
28,Burrows Street,Shirley,Powell,19,None,Single,Female,University Student,None,Christian
29,Burrows Street,Denise,Robinson,39,Head,Married,Female,Music tutor,None,None
29,Burrows Street,Billy,Robinson,42,Husband,Married,Male,"Scientist, physiological",None,None
29,Burrows Street,Sean,Robinson,26,Son,Single,Male,Pharmacologist,None,None
29,Burrows Street,Russell,Robinson,23,Son,Divorced,Male,"Scientist, physiological",None,None
1,Evans Avenue,Catherine,Murphy,49,Head,Divorced,Female,Unemployed,None,None
1,Evans Avenue,Ruth,Murphy,1,Daughter,NA,Female,Child,None,NA
2,Evans Avenue,Iain,Garner,83,Head,Married,Male,Retired Armed forces operational officer,None,Christian
2,Evans Avenue,Gail,Garner,79,Wife,Married,Female,Retired Secondary school teacher,None,None
3,Evans Avenue,Guy,Wright,22,Head,Single,Male,University Student,None,Methodist
3,Evans Avenue,Jamie,Owens,22,None,Single,m,University Student,None,NA
4,Evans Avenue,Caroline,Thomas,77,Head,Widowed,Female,"Retired Surveyor, quantity",None,Christian
5,Evans Avenue,Sandra,Marshall,35,Head,Divorced,Female,Nature conservation officer,None,None
6,Evans Avenue,Craig,Ingram,82,Head,Widowed,Male,Retired Environmental health practitioner,None,Christian
7,Evans Avenue,Jenna,Davies,40,Head,Single,Female,"Surveyor, rural practice",None,Catholic
8,Evans Avenue,Anthony,Chamberlain,36,Head,Single,Male,Armed forces technical officer,None,Christian
9,Evans Avenue,Natasha,Ward,43,Head,Single,Female,Control and instrumentation engineer,None,None
9,Evans Avenue,Naomi,Ward,8,Daughter,NA,Female,Student,None,NA
10,Evans Avenue,Tom,Godfrey,45,Head,Married,Male,Film/video editor,None,Catholic
10,Evans Avenue,Hannah,Godfrey,43,Wife,Married,Female,Radio producer,None,Catholic
11,Evans Avenue,Joan,Abbott,72,Head,Widowed,Female,Retired Medical technical officer,None,Methodist
12,Evans Avenue,Natalie,James,71,Head,Widowed,Female,Retired Water engineer,None,Methodist
12,Evans Avenue,Sam,James,37,Son,Single,Male,Secretary/administrator,None,Methodist
13,Evans Avenue,Connor,Robinson,71,Head,Married,Male,Retired Marketing executive,None,Catholic
13,Evans Avenue,Sharon,Robinson,65,Wife,Married,Female,Unemployed,None,None
14,Evans Avenue,Lorraine,Davis,35,Head,Married,Female,Financial controller,None,None
14,Evans Avenue,Mathew,Davis,37,Husband,Married,Male,Games developer,None,None
15,Evans Avenue,Malcolm,Sanderson,36,Head,Single,Male,Unemployed,None,Christian
16,Evans Avenue,Marilyn,Ashton,81,Head,Divorced,Female,"Retired Conservation officer, nature",None,Catholic
17,Evans Avenue,Suzanne,Williams,77,Head,Widowed,Female,Unemployed,None,Christian
18,Evans Avenue,Brett,Ball,52,Head,Single,Male,"Surveyor, quantity",None,None
19,Evans Avenue,Danielle,Perry,87,Head,Widowed,Female,"Retired Restaurant manager, fast food",None,Christian
20,Evans Avenue,Derek,Grant,31,Head,Married,Male,Web designer,None,Catholic
20,Evans Avenue,Harriet,Grant,29,Wife,Married,Female,"Therapist, art",None,None
21,Evans Avenue,Howard,Turner,36,Head,Single,Male,"Scientist, water quality",None,None
21,Evans Avenue,Diane,Hewitt,51,None,Divorced,Female,Energy engineer,None,Christian
21,Evans Avenue,Max,Gough,22,None,Single,Male,University Student,None,None
22,Evans Avenue,Elaine,Donnelly,70,Head,Widowed,Female,Retired Broadcast presenter,None,Christian
23,Evans Avenue,Russell,Cox,75,Head,Married,Male,"Retired Designer, industrial/product",None,Christian
23,Evans Avenue,Katherine,Cox,73,Wife,Married,Female,Retired Retail banker,None,Christian
24,Evans Avenue,Kirsty,Jones,47,Head,Single,Female,Hospital doctor,None,Catholic
25,Evans Avenue,Melanie,Smith,27,Head,Divorced,Female,Toxicologist,None,None
25,Evans Avenue,Adam,Turner,43,Lodger,Single,Male,Physiological scientist,None,None
25,Evans Avenue,Gerard,Davidson,20,Lodger,Single,Male,University Student,None,Christian
1,Barton Springs,Bradley,Ferguson,23,Head,Married,Male,Exercise physiologist,None,None
1,Barton Springs,Lynne,Ferguson,19,Wife,Married,Female,University Student,None,None
2,Barton Springs,Sandra,Houghton,60,Head,Married,Female,Adult guidance worker,None,None
2,Barton Springs,Craig,Houghton,62,Husband,Married,Male,Environmental health practitioner,None,None
2,Barton Springs,Rachael,Houghton,27,Daughter,Divorced,Female,Horticultural consultant,None,None
2,Barton Springs,Andrew,Houghton,27,Son,Divorced,Male,Social researcher,None,None
2,Barton Springs,Robert,Houghton,7,Son,NA,Male,Student,None,NA
3,Barton Springs,Elaine,Kerr,53,Head,Married,Female,Broadcast presenter,None,None
3,Barton Springs,Gregory,Kerr,56,Husband,Married,Male,Landscape architect,None,None
3,Barton Springs,Samuel,Kerr,10,Son,NA,Male,Student,None,NA
4,Barton Springs,Lewis,Watkins,62,Head,Single,Male,Radio broadcast assistant,None,Catholic
4,Barton Springs,Diana,Thompson,48,None,S,Female,Public house manager,None,None
5,Barton Springs,Sylvia,Carter,74,Head,Widowed,Female,Retired Customer service manager,None,None
6,Barton Springs,Amy,May,38,Head,Married,Female,"Conservation officer, nature",None,Catholic
6,Barton Springs,Ryan,May,43,Husband,Married,Male,"Copywriter, advertising",None,None
6,Barton Springs,Bernard,May,5,Son,NA,Male,Student,None,NA
6,Barton Springs,Charles,May,2,Son,NA,Male,Child,None,NA
7,Barton Springs,Emma,Lewis,57,Head,Widowed,Female,Counsellor,None,Christian
7,Barton Springs,Reece,Holden,8,Grandson,NA,Male,Student,None,NA
8,Barton Springs,Helen,Clarke,68,Head,Widowed,Female,Unemployed,None,Christian
8,Barton Springs,Teresa,Webster,28,Daughter,Single,Female,Fast food restaurant manager,None,Christian
9,Barton Springs,Jay,Abbott,36,Head,Married,Male,Engineering geologist,None,Christian
9,Barton Springs,Jodie,Abbott,36,Wife,Married,Female,Air cabin crew,None,None
10,Barton Springs,Beverley,Nelson,31,Head,Single,Female,Veterinary surgeon,None,None
10,Barton Springs,Ruth,Nelson,5,Daughter,NA,Female,Student,None,NA
11,Barton Springs,Wayne,Phillips,47,Head,Married,Male,Hospital doctor,None,None
11,Barton Springs,Tracy,Phillips,47,Wife,Married,Female,"Civil engineer, contracting",None,None
12,Barton Springs,Nicola,Anderson,85,Head,Widowed,Female,Retired Air traffic controller,None,None
13,Barton Springs,Naomi,Evans,30,Head,Divorced,Female,Archaeologist,None,None
13,Barton Springs,Ruth,Evans,7,Daughter,NA,Female,Student,None,NA
14,Barton Springs,Amy,Turnbull,30,Head,Single,Female,Mental health nurse,None,Muslim
14,Barton Springs,Chloe,Turnbull,1,Daughter,NA,Female,Child,None,NA
15,Barton Springs,Georgina,Dawson,42,Head,Married,Female,Diagnostic radiographer,None,Methodist
15,Barton Springs,Dale,Dawson,44,Husband,Married,Male,Cabin crew,None,None
15,Barton Springs,Maria,Dawson,5,Daughter,NA,Female,Student,None,NA
15,Barton Springs,Jason,Dawson,5,Son,NA,Male,Student,None,NA
15,Barton Springs,Jodie,Dawson,5,Daughter,NA,Female,Student,None,NA
16,Barton Springs,Dean,Jones,51,Head,Married,Male,Science writer,None,None
16,Barton Springs,Marilyn,Jones,54,Wife,Married,Female,Advertising art director,None,None
17,Barton Springs,Mohammed,Robson,58,Head,Married,Male,Higher education lecturer,None,Christian
17,Barton Springs,Dawn,Robson,57,Wife,Married,Female,Geophysical data processor,None,Christian
18,Barton Springs,Christopher,Davies,56,Head,Married,Male,"Radiographer, therapeutic",None,Catholic
18,Barton Springs,Hollie,Davies,53,Wife,Married,Female,Chief Strategy Officer,None,Catholic
19,Barton Springs,Ashley,Walker,45,Head,Divorced,Male,Records manager,None,Methodist
20,Barton Springs,Declan,Harrison,37,Head,Single,Male,"Engineer, mining",None,Catholic
20,Barton Springs,Rachael,Edwards,38,Partner,Single,Female,Financial manager,None,Catholic
21,Barton Springs,Chelsea,Simmons,36,Head,Single,Female,Media planner,None,None
21,Barton Springs,Frederick,Butcher,39,Partner,Single,Male,Museum/gallery exhibitions officer,None,None
22,Barton Springs,Jessica,Jones,56,Head,Married,Female,Unemployed,None,None
22,Barton Springs,Harry,Jones,60,Husband,Married,Male,Chemical engineer,None,None
22,Barton Springs,Irene,Jones,37,Daughter,Single,Female,Unemployed,None,None
22,Barton Springs,Irene,Jones,36,Daughter,Divorced,Female,Secretary/administrator,None,None
22,Barton Springs,Leonard,Jones,31,Son,Divorced,Male,Air traffic controller,None,None
23,Barton Springs,Marian,Holland,28,Head,Married,Female,Retail manager,None,Methodist
23,Barton Springs,Norman,Holland,30,Husband,Married,Male,"Surveyor, commercial/residential",None,Methodist
1,Exeter Street,Rita,Allen,24,Head,Married,Female,IT consultant,None,None
1,Exeter Street,Dale,Allen,26,Husband,Married,Male,"Engineer, structural",None,None
2,Exeter Street,Katy,Dobson,52,Head,Married,Female,Biomedical scientist,None,Christian
2,Exeter Street,Kieran,Dobson,57,Husband,Married,Male,Clinical cytogeneticist,None,None
3,Exeter Street,Jayne,Goodwin,31,Head,Single,Female,Unemployed,None,None
3,Exeter Street,Megan,Goodwin,6,Daughter,NA,Female,Student,None,NA
3,Exeter Street,Katy,Goodwin,2,Daughter,NA,Female,Child,None,NA
4,Exeter Street,Clifford,Howe,74,Head,Married,Male,Retired Press sub,None,None
4,Exeter Street,Joan,Howe,71,Wife,Married,Female,Retired Advice worker,None,None
5,Exeter Street,Charlene,Taylor,18,Head,Married,Female,Student,None,NA
5,Exeter Street,Frank,Taylor,21,Husband,Married,Male,University Student,None,NA
6,Exeter Street,John,Blake,36,Head,Single,Male,Camera operator,None,None
7,Exeter Street,Helen,Burton,56,Head,Married,Female,"Designer, blown glass/stained glass",None,None
7,Exeter Street,James,Burton,57,Husband,Married,Male,"Buyer, retail",None,None
7,Exeter Street,Ruth,Burton,20,Daughter,Single,Female,Advertising copywriter,None,None
7,Exeter Street,Barry,Burton,16,Son,NA,Male,Student,None,NA
7,Exeter Street,Tony,Burton,16,Son,NA,Male,Student,None,NA
8,Exeter Street,Kate,Smith,38,Head,Married,Female,Financial planner,None,None
8,Exeter Street,Neil,Smith,37,Husband,Married,Male,Public house manager,None,None
8,Exeter Street,Katherine,Smith,21,Daughter,Divorced,Female,University Student,None,None
8,Exeter Street,Amanda,Smith,18,Daughter,Divorced,Female,Student,None,None
8,Exeter Street,Elizabeth,Smith,14,Daughter,NA,Female,Student,None,NA
9,Exeter Street,Garry,Ahmed,60,Head,Widowed,Male,Building control surveyor,None,Methodist
10,Exeter Street,Alison,Hill,81,Head,Married,Female,Retired Ergonomist,None,Christian
10,Exeter Street,Daniel,Hill,80,Husband,Married,Male,Retired Retail banker,None,None
11,Exeter Street,Kathleen,Smith,19,Head,Single,Female,University Student,None,None
11,Exeter Street,Adam,Rose,29,None,Single,Male,Agricultural engineer,None,Catholic
11,Exeter Street,Connor,Smith,62,None,Single,Male,Chief Technology Officer,None,Catholic
12,Exeter Street,Debra,Goddard,38,Head,Divorced,Female,"Production assistant, radio",None,Christian
12,Exeter Street,Lorraine,O'Sullivan,56,Lodger,Single,Female,Ship broker,None,Christian
12,Exeter Street,Diane,Nicholson,22,Sibling,Widowed,Female,University Student,None,None
13,Exeter Street,Kelly,Ward,69,Head,Married,Female,Retired Energy manager,None,Catholic
13,Exeter Street,David,Ward,72,Husband,Married,Male,Retired Counselling psychologist,None,None
14,Exeter Street,Janet,Gibbons,37,Head,Married,Female,IT sales professional,None,None
14,Exeter Street,Ricky,Gibbons,40,Husband,Married,Male,Youth worker,None,None
14,Exeter Street,Georgina,Gibbons,3,Daughter,NA,Female,Child,None,NA
15,Exeter Street,Keith,Reeves,59,Head,Married,Male,Water engineer,None,Christian
15,Exeter Street,Francesca,Reeves,60,Wife,Married,Female,Structural engineer,None,Christian
16,Exeter Street,Reece,Price,34,Head,Married,Male,Audiological scientist,None,Catholic
16,Exeter Street,Hannah,Price,37,Wife,Married,Female,International aid/development worker,None,Catholic
17,Exeter Street,Elaine,O'Brien,41,Head,Married,Female,"Merchandiser, retail",None,None
17,Exeter Street,Kieran,Hall,44,Husband,Married,Male,"Geologist, engineering",None,None
17,Exeter Street,Kimberley,O'Brien,11,Daughter,NA,Female,Student,None,NA
17,Exeter Street,Marcus,O'Brien,8,Son,NA,Male,Student,None,NA
18,Exeter Street,Adrian,Davis,44,Head,Single,Male,Politician's assistant,None,Catholic
18,Exeter Street,Gemma,Johnson,49,None,Single,Female,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
18,Exeter Street,Glenn,Clements,57,None,Single,Male,"Designer, ceramics/pottery",None,Christian
18,Exeter Street,Claire,Field,19,None,Single,Female,University Student,None,None
18,Exeter Street,Lynn,O'Brien,45,None,Single,Female,"Programme researcher, broadcasting/film/video",None,Catholic
19,Exeter Street,Mohamed,Hancock,38,Head,Single,Male,Arts administrator,None,Catholic
19,Exeter Street,Andrew,Cook,21,Lodger,Single,Male,University Student,None,None
19,Exeter Street,Maureen,Hamilton,38,Lodger,Single,Female,"Engineer, electrical",None,Christian
19,Exeter Street,Rachael,Barrett,34,Cousin,Single,Female,Charity officer,None,Christian
20,Exeter Street,Emily,Wright,52,Head,Married,Female,Medical sales representative,None,Christian
20,Exeter Street,Martin,Wright,52,Husband,Married,Male,Data scientist,None,Christian
20,Exeter Street,Paul,Wright,21,Son,Single,Male,University Student,None,Christian
20,Exeter Street,Alexander,Wright,20,Son,Single,male,University Student,None,Christian
20,Exeter Street,Janet,Willis-Wright,16,Daughter,NA,Female,Student,None,NA
21,Exeter Street,Natalie,Davies,31,Head,Single,Female,Electrical engineer,None,None
21,Exeter Street,Gregory,Hall,29,None,Single,Male,Ecologist,None,Catholic
22,Exeter Street,Melanie,Davison,63,Head,Single,Female,Materials engineer,None,Christian
22,Exeter Street,Kathryn,Allen,43,None,Single,Female,Sports therapist,None,None
23,Exeter Street,Carole,Collier,62,Head,Single,Female,"Psychologist, counselling",None,Christian
23,Exeter Street,Wendy,Collier,37,Daughter,Single,Female,Health visitor,None,Christian
24,Exeter Street,Daniel,Fox,59,Head,Single,Male,"Nurse, learning disability",None,Methodist
24,Exeter Street,Malcolm,Cooper,60,None,Single,Male,Immigration officer,None,Christian
25,Exeter Street,Mandy,Grant,55,Head,Divorced,Female,Sports therapist,None,Christian
26,Exeter Street,Beth,Butler,56,Head,Divorced,Female,"Production designer, theatre/television/film",None,Christian
26,Exeter Street,Mohamed,Butler,38,Son,Single,Male,"Psychotherapist, dance movement",None,Christian
26,Exeter Street,Adrian,Butler,38,Son,Single,Male,Visual merchandiser,None,Christian
26,Exeter Street,Ian,Butler,30,Son,Single,Male,Biomedical engineer,None,Christian
27,Exeter Street,Abigail,Wong,52,Head,Married,Female,"Surveyor, insurance",None,Methodist
27,Exeter Street,Robin,Wong,50,Husband,Married,Male,Research scientist (medical),None,Methodist
27,Exeter Street,Darren,Wong,24,Son,Single,Male,"Restaurant manager, fast food",None,Methodist
28,Exeter Street,Liam,Collins,39,Head,Married,Male,Immunologist,None,Christian
28,Exeter Street,Leanne,Collins,36,Wife,Married,Female,Aeronautical engineer,None,Christian
29,Exeter Street,Joanne,Watts,67,Head,Divorced,Female,"Journalist, magazine",None,None
29,Exeter Street,Jill,Wright,13,Granddaughter,NA,Female,Student,None,NA
30,Exeter Street,Garry,Murphy,27,Head,Single,Male,"Administrator, education",None,None
30,Exeter Street,Judith,Jones,56,None,Single,Female,Landscape architect,None,Christian
30,Exeter Street,Hannah,Lewis,28,None,Single,Female,Forest/woodland manager,None,Christian
31,Exeter Street,Ricky,Webb,72,Head,Widowed,Male,Retired Personnel officer,None,None
31,Exeter Street,Trevor,Webb,37,Son,Single,Male,English as a foreign language teacher,None,None
31,Exeter Street,Hannah,Webb,33,Daughter,Single,Female,Ship broker,None,None
32,Exeter Street,Melanie,Hunt,45,Head,Single,Female,Legal executive,None,None
32,Exeter Street,Kevin,Sutton,49,Partner,Single,Male,Community pharmacist,None,None
32,Exeter Street,Mohammad,Hunt,17,Son,NA,Male,Student,None,NA
32,Exeter Street,Judith,Hunt,15,Daughter,NA,Female,Student,None,NA
32,Exeter Street,Henry,Hunt,12,Son,NA,Male,Student,None,NA
32,Exeter Street,Marilyn,Hunt,10,Daughter,NA,Female,Student,None,NA
33,Exeter Street,Lindsey,Winter,65,Head,Divorced,f,Higher education careers adviser,None,None
34,Exeter Street,Ben,Lord,47,Head,Single,Male,Insurance underwriter,None,Christian
34,Exeter Street,Natasha,Rees,42,Partner,Single,Female,Sport and exercise psychologist,None,None
35,Exeter Street,Sheila,Booth,24,Head,Single,Female,Legal executive,None,Methodist
35,Exeter Street,Richard,Rose,28,Partner,Single,Male,"Editor, commissioning",None,Methodist
35,Exeter Street,Rosemary,Booth,0,Daughter,NA,Female,Child,None,NA
